los,los_type,freq,cum_sum
0,flat_curve,0.08973570989551322,0.08973570989551322
1,flat_curve,0.2231100184388445,0.31284572833435775
2,flat_curve,0.10510141364474493,0.41794714197910265
3,flat_curve,0.07232124564638394,0.4902683876254866
4,flat_curve,0.06945298094652735,0.5597213685720139
5,flat_curve,0.06392132759680394,0.6236426961688178
6,flat_curve,0.06064331079696784,0.6842860069657857
7,flat_curve,0.03913132554804343,0.7234173325138291
8,flat_curve,0.030526531448473674,0.7539438639623028
9,flat_curve,0.019872976849006352,0.7738168408113092
10,flat_curve,0.021921737348903913,0.7957385781602131
11,flat_curve,0.015775455849211226,0.8115140340094243
12,flat_curve,0.019668100799016593,0.8311821348084409
13,flat_curve,0.019258348699037083,0.850440483507478
14,flat_curve,0.013726695349313665,0.8641671788567917
15,flat_curve,0.010038926449498053,0.8742061053062897
16,flat_curve,0.007785289899610736,0.8819913952059004
17,flat_curve,0.00758041384962098,0.8895718090555214
18,flat_curve,0.011473058799426348,0.9010448678549478
19,flat_curve,0.006965785699651711,0.9080106535545994
20,flat_curve,0.007990165949600492,0.9160008195041999
21,flat_curve,0.006556033599672198,0.922556853103872
22,flat_curve,0.006146281499692686,0.9287031346035647
23,flat_curve,0.003278016799836099,0.9319811514034008
24,flat_curve,0.0034828928498258555,0.9354640442532266
25,flat_curve,0.004097520999795124,0.9395615652530217
26,flat_curve,0.003073140749846343,0.942634706002868
27,flat_curve,0.0022536365498873182,0.9448883425527553
28,flat_curve,0.003278016799836099,0.9481663593525914
29,flat_curve,0.0022536365498873182,0.9504199959024787
30,flat_curve,0.0034828928498258555,0.9539028887523046
31,flat_curve,0.003073140749846343,0.9569760295021509
32,flat_curve,0.002458512599877074,0.9594345421020279
33,flat_curve,0.0022536365498873182,0.9616881786519152
34,flat_curve,0.0022536365498873182,0.9639418152018026
35,flat_curve,0.0026633886498668305,0.9666052038516694
36,flat_curve,0.0022536365498873182,0.9688588404015567
37,flat_curve,0.001024380249948781,0.9698832206515055
38,flat_curve,0.0016390083999180496,0.9715222290514235
