age,age_type,freq,cum_sum
18,high_peak,0.00027412280701754384,0.00027412280701754384
19,high_peak,0.0013020833333333333,0.001576206140350877
20,high_peak,0.0014391447368421052,0.0030153508771929823
21,high_peak,0.001850328947368421,0.004865679824561403
22,high_peak,0.0010964912280701754,0.005962171052631578
23,high_peak,0.0011650219298245613,0.00712719298245614
24,high_peak,0.002261513157894737,0.009388706140350877
25,high_peak,0.001850328947368421,0.011239035087719298
26,high_peak,0.0014391447368421052,0.012678179824561403
27,high_peak,0.001781798245614035,0.014459978070175438
28,high_peak,0.0021929824561403508,0.01665296052631579
29,high_peak,0.0025356359649122808,0.01918859649122807
30,high_peak,0.002398574561403509,0.02158717105263158
31,high_peak,0.001781798245614035,0.023368969298245612
32,high_peak,0.002261513157894737,0.02563048245614035
33,high_peak,0.001918859649122807,0.027549342105263157
34,high_peak,0.002124451754385965,0.029673793859649123
35,high_peak,0.0026726973684210527,0.03234649122807018
36,high_peak,0.0032209429824561404,0.03556743421052632
37,high_peak,0.002398574561403509,0.03796600877192983
38,high_peak,0.0028782894736842104,0.04084429824561404
39,high_peak,0.002261513157894737,0.043105811403508776
40,high_peak,0.0026726973684210527,0.04577850877192983
41,high_peak,0.0028097587719298246,0.048588267543859656
42,high_peak,0.0029468201754385965,0.05153508771929825
43,high_peak,0.003632127192982456,0.05516721491228071
44,high_peak,0.003974780701754386,0.059141995614035096
45,high_peak,0.005825109649122807,0.06496710526315791
46,high_peak,0.006167763157894737,0.07113486842105264
47,high_peak,0.007606907894736842,0.07874177631578948
48,high_peak,0.007195723684210526,0.0859375
49,high_peak,0.008566337719298246,0.09450383771929824
50,high_peak,0.008360745614035088,0.10286458333333333
51,high_peak,0.009731359649122808,0.11259594298245613
52,high_peak,0.013706140350877192,0.12630208333333331
53,high_peak,0.01425438596491228,0.14055646929824558
54,high_peak,0.01651589912280702,0.1570723684210526
55,high_peak,0.01733826754385965,0.17441063596491224
56,high_peak,0.019394188596491228,0.19380482456140347
57,high_peak,0.018297697368421052,0.2121025219298245
58,high_peak,0.019325657894736843,0.23142817982456135
59,high_peak,0.020833333333333332,0.2522615131578947
60,high_peak,0.02035361842105263,0.27261513157894735
61,high_peak,0.021792763157894735,0.2944078947368421
62,high_peak,0.023574561403508772,0.31798245614035087
63,high_peak,0.02645285087719298,0.3444353070175438
64,high_peak,0.02816611842105263,0.3726014254385965
65,high_peak,0.025836074561403508,0.3984375
66,high_peak,0.032689144736842105,0.4311266447368421
67,high_peak,0.029742324561403508,0.4608689692982456
68,high_peak,0.027617872807017545,0.48848684210526316
69,high_peak,0.034333881578947366,0.5228207236842105
70,high_peak,0.02734375,0.5501644736842105
71,high_peak,0.026384320175438597,0.5765487938596491
72,high_peak,0.029262609649122806,0.6058114035087718
73,high_peak,0.022341008771929825,0.6281524122807016
74,high_peak,0.0239172149122807,0.6520696271929823
75,high_peak,0.02953673245614035,0.6816063596491226
76,high_peak,0.02802905701754386,0.7096354166666665
77,high_peak,0.027206688596491228,0.7368421052631577
78,high_peak,0.03625274122807018,0.773094846491228
79,high_peak,0.032140899122807015,0.805235745614035
80,high_peak,0.028645833333333332,0.8338815789473684
81,high_peak,0.031044407894736843,0.8649259868421052
82,high_peak,0.023711622807017545,0.8886376096491228
83,high_peak,0.02617872807017544,0.9148163377192982
84,high_peak,0.01864035087719298,0.9334566885964911
85,high_peak,0.01631030701754386,0.949766995614035
86,high_peak,0.011787280701754386,0.9615542763157894
87,high_peak,0.008908991228070175,0.9704632675438596
88,high_peak,0.008977521929824562,0.9794407894736842
89,high_peak,0.005619517543859649,0.9850603070175439
90,high_peak,0.003974780701754386,0.9890350877192983
91,high_peak,0.0028782894736842104,0.9919133771929824
92,high_peak,0.0034950657894736842,0.9954084429824561
93,high_peak,0.0013706140350877192,0.9967790570175439
94,high_peak,0.0012335526315789473,0.9980126096491229
95,high_peak,0.00041118421052631577,0.9984237938596492
96,high_peak,0.0006853070175438596,0.9991091008771931
97,high_peak,0.00047971491228070173,0.9995888157894738
98,high_peak,0.00013706140350877192,0.9997258771929826
99,high_peak,0.00020559210526315788,0.9999314692982457
100,high_peak,6.853070175438596e-05,1.0
18,wide_peak,0.003864030912247298,0.003864030912247298
19,wide_peak,0.003920031360250882,0.00778406227249818
20,wide_peak,0.005040040320322563,0.012824102592820743
21,wide_peak,0.003808030464243714,0.016632133057064458
22,wide_peak,0.0030800246401971217,0.01971215769726158
23,wide_peak,0.003864030912247298,0.02357618860950888
24,wide_peak,0.00375203001624013,0.02732821862574901
25,wide_peak,0.004200033600268802,0.03152825222601781
26,wide_peak,0.004816038528308226,0.036344290754326034
27,wide_peak,0.004424035392283138,0.04076832614660917
28,wide_peak,0.004816038528308226,0.045584364674917395
29,wide_peak,0.004088032704261634,0.04967239737917903
30,wide_peak,0.005488043904351235,0.055160441283530266
31,wide_peak,0.006216049728397827,0.061376491011928096
32,wide_peak,0.007280058240465924,0.06865654925239402
33,wide_peak,0.004928039424315395,0.07358458867670942
34,wide_peak,0.007000056000448004,0.08058464467715742
35,wide_peak,0.006552052416419331,0.08713669709357676
36,wide_peak,0.005880047040376323,0.09301674413395308
37,wide_peak,0.006552052416419331,0.09956879655037242
38,wide_peak,0.006944055552444419,0.10651285210281683
39,wide_peak,0.006776054208433667,0.11328890631125049
40,wide_peak,0.00750406003248026,0.12079296634373075
41,wide_peak,0.006720053760430084,0.12751302010416082
42,wide_peak,0.005600044800358403,0.13311306490451924
43,wide_peak,0.007952063616508931,0.14106512852102818
