min_age,max_age,ward_type,freq,los_mean,los_sd
12,17,triangle,0.0052933832709113,3.72108077404044,0.9755949579528808
18,18,triangle,0.0060424469413233,3.9510111771171696,1.03982300622359
19,19,triangle,0.0064918851435705,3.97665929457286,1.17257408022074
20,20,triangle,0.0080399500624219,3.6988933219292295,1.30043977185299
21,21,triangle,0.0059925093632958,3.8472383023377694,1.18278720229645
22,22,triangle,0.0058926342072409,3.9075644815953,1.21724329441833
23,23,triangle,0.0055430711610486,3.8138717291796,1.24982163169758
24,24,triangle,0.0054931335830212,3.8913458899188695,1.12262249771403
25,25,triangle,0.0073408239700374,3.9700510037958305,1.1944808354791
26,26,triangle,0.0061423220973782,3.9598540483824305,1.27265674963566
27,27,triangle,0.0073408239700374,3.9930200804062896,1.22305141368776
28,28,triangle,0.0071410736579275,3.81073073714844,1.27311989602129
29,29,triangle,0.0056429463171036,4.053700711108,1.00905099443077
30,30,triangle,0.0070911360799001,4.23844940326476,1.07018803050195
31,31,triangle,0.0066416978776529,4.02233072591774,1.14936524657515
32,32,triangle,0.0074906367041198,4.06996062902798,1.254373936244
33,33,triangle,0.0074406991260923,3.8830973841402496,1.17756558641339
34,34,triangle,0.0071410736579275,4.06413014843094,1.22802930017352
35,35,triangle,0.0084394506866417,4.10725159463426,1.26643651179703
36,36,triangle,0.0057428214731585,3.9858827430385495,1.08111126106076
37,37,triangle,0.0081897627965043,4.0921011945974,1.28890206000641
38,38,triangle,0.0073408239700374,4.08274512458062,1.25977981277284
39,39,triangle,0.0071410736579275,4.0825481312389,1.07176876867196
40,40,triangle,0.007191011235955,3.9739088369568294,1.30791227726977
41,41,triangle,0.0081398252184769,3.8689460273211895,1.16974294356688
42,42,triangle,0.007940074906367,4.01065059000218,1.23724681071469
43,43,triangle,0.009338327091136,3.9899428285123695,1.18798274835209
44,44,triangle,0.0079900124843945,4.05483218109108,1.30152121044027
45,45,triangle,0.0090886392009987,4.03255340565219,1.26371979475045
46,46,triangle,0.010936329588015,3.91525249433303,1.2685164990019
47,47,triangle,0.0106367041198502,3.8539828941407297,1.23516411220919
48,48,triangle,0.0113857677902622,4.03623489848771,1.14418069238243
49,49,triangle,0.0136828963795256,4.1773954093229,1.23111438466952
50,50,triangle,0.0147815230961298,4.014786834023489,1.29381340097289
51,51,triangle,0.0153807740324594,4.17216844986101,1.25738757288187
52,52,triangle,0.0182771535580524,4.092782091768489,1.31585794584236
53,53,triangle,0.018227215980025,4.17097498998988,1.2627808279909
54,54,triangle,0.0191760299625468,4.086183959275609,1.25632391810161
55,55,triangle,0.0203245942571785,4.17828491783437,1.23886479591162
56,56,triangle,0.0237702871410737,4.0689003807413,1.40922078713231
57,57,triangle,0.0237702871410737,4.130683601573449,1.27721805939314
58,58,triangle,0.0197253433208489,4.16149089243314,1.23066787150857
59,59,triangle,0.022621722846442,4.15291251344772,1.21522981999051
60,60,triangle,0.0207240948813983,4.28734462008746,1.28379319518884
61,61,triangle,0.0184269662921348,4.33165512524028,1.18204783425868
62,62,triangle,0.0210736579275905,4.29776288769275,1.31122602115998
63,63,triangle,0.0231210986267166,4.31796385885544,1.10821727797896
